content	label_manual	scores	compound	negatif	netral	positif	label_vader
It is overheating my device, and it has audio issues. I was forced to use it for school. It was alright, worth about 3 stars, but now it's worth nothing. The picture quality is atrocious in low light. It also takes so much power, that my device gets really hot. There is also a glitch/bug that makes people on the other end unable to hear me. The only solution is to use my mom's headset. Overall the quality is terrible.	N	{'neg': 0.098, 'neu': 0.811, 'pos': 0.092, 'compound': -0.3716}	-0.3716	0.098	0.811	0.092	N
This may be a popular app for many people but for me it was absolute garbage. I have literally spent hours trying to make the sound work. I have followed all the instructions. I have turn the sound on in the app and make sure that all of the settings are correct per the instructions from Zoom. Force stop the application and clear cache. Restart the device. Clean up residual garbage with the CCleaner app. No sound. This app is just garbage	N	{'neg': 0.06, 'neu': 0.814, 'pos': 0.126, 'compound': 0.7351}	0.7351	0.06	0.814	0.126	P
For the past few weeks, I am experiencing a major problem with this app. I would often get disconnected at times during a meeting, even in the presence of a strong internet connection. And it would not even reconnect by itself, and then I have to rejoin the class manually. It is a headache especially at times when the meeting has waiting room enabled, and the host has to let me in on and on again. Plz help , if anyone can fix this problem.	NT	{'neg': 0.065, 'neu': 0.856, 'pos': 0.078, 'compound': 0.0469}	0.0469	0.065	0.856	0.078	NT
The zoom appears a black screen and says connecting to longer and then says your network is slow but my network is 4g.This problems occurs till 1 to 2 days.This problem again occurs in 20 to 30 days. My app is fully updated. Please fix this problem or say What I do? l reported this earlier also but I not get any response so.	N	{'neg': 0.138, 'neu': 0.766, 'pos': 0.096, 'compound': -0.5077}	-0.5077	0.138	0.766	0.096	N
The video quality has become very lousy, and since the last few updates, the internet connectivity has really been very difficult lately, and people have complained that they're having problems viewing what I'm saying with my signs. Either the screen goes dark, or freezes up or I get kicked out of my church service. Could the development team do something about this please? This is getting very frustrating for my deaf friends and I. Thanks!!!!!!!!!!!!Ã°Å¸ËœÂ¡	N	{'neg': 0.196, 'neu': 0.741, 'pos': 0.063, 'compound': -0.8998}	-0.8998	0.196	0.741	0.063	N
Would rate 0 stars if that would have been possible. First off this app needs a very good connection to internet which creates all kinds of problems. Sometimes its not the connection fault its the apps fault like sometimes i have a good connection than also the meeting doesn't go smoothly. Try some other meeting app and avoid this.	P	{'neg': 0.106, 'neu': 0.713, 'pos': 0.181, 'compound': 0.6543}	0.6543	0.106	0.713	0.181	P
I uninstalled this app before due to the hassles I have experienced just to connect a call. Often had to rather switch to a different platform. Now due to the unfortunate popularity of zoom, I have to make use of this again. First call didn't connect. I feel their meeting ID system is not good at all. This app should come with a warning that it might let you down.	N	{'neg': 0.102, 'neu': 0.858, 'pos': 0.04, 'compound': -0.5727}	-0.5727	0.102	0.858	0.04	N
My family had a virtual Thanksgiving, we were relying on Zoom and such a disappointment the audio would not work. We tried everything to get it to work and wouldn't we even tried a few hours later thinking too many people were on and still one of us couldn't hear and I was the only one alone for the holiday and when we all finally were able to get on I couldn't hear anyone's conversation and broke my heart. The picture was choppy as well. This was a horrible app.	N	{'neg': 0.112, 'neu': 0.801, 'pos': 0.087, 'compound': -0.3818}	-0.3818	0.112	0.801	0.087	N
This app has so many problems on my phone, it overrides current calls that I'm on when I'm on a cell phone call, it continues to ring after answering on my desktop, the Bluetooth keeps connecting as of in a call over and over again after a call is received whether I answer or not, it does not always show the missed call details, it will ring randomly for a call that was hours ago. Zoom really needs to fix how this program works on cell phones.	N	{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.6344}	-0.6344	0.057	0.943	0.0	N
I'm facing problems with this app now! I had an account of Zoom in my previous phone but after changing my phone I added the same account too! But the problem is that,I am unable to listen anything what the host or participants say!!! This problem wasn't there in the previous one! I've tried changing the settings too,but it's not worth it!!! I'm using this app for my online classes and I'm unable to attend my classes since 2 days hence facing losses... Please fix this fast!!!!!	N	{'neg': 0.163, 'neu': 0.808, 'pos': 0.029, 'compound': -0.9239}	-0.9239	0.163	0.808	0.029	N
